,longitudes,latitudes,spatial_counts,id
377,-124.3,38.4,1.50438193426e-06,1.0
378,-124.3,38.5,1.7021147929400004e-06,1.0
379,-124.3,38.6,1.91407036482e-06,1.0
380,-124.3,38.7,2.12870715483e-06,0.0
381,-124.3,38.8,2.3283533426e-06,0.0
382,-124.3,38.9,2.49364123e-06,0.0
383,-124.3,39.0,2.608115039e-06,0.0
384,-124.3,39.1,2.6633742202999994e-06,0.0
385,-124.3,39.2,2.6668187738e-06,0.0
386,-124.3,39.3,2.7352495124e-06,0.0
387,-124.3,39.4,2.8622658607e-06,0.0
388,-124.3,39.5,3.0339379751e-06,0.0
389,-124.3,39.6,3.3763379627999998e-06,0.0
390,-124.3,39.7,4.1332151376e-06,0.0
391,-124.3,39.8,5.470481941100001e-06,0.0
392,-124.3,39.9,8.3440003818e-06,0.0
393,-124.3,40.0,1.46948555166e-05,0.0
394,-124.3,40.1,1.8061695650399998e-05,0.0
395,-124.3,40.2,1.7154196568211885e-05,0.0
396,-124.3,40.3,4.490918421014872e-05,0.0
397,-124.3,40.4,1.60842676752e-05,0.0
398,-124.3,40.5,1.58821432295e-05,0.0
399,-124.3,40.6,1.5018230201e-05,0.0
400,-124.3,40.7,1.3944798519600002e-05,0.0
401,-124.3,40.8,1.2760167374e-05,0.0
402,-124.3,40.9,1.1038162019e-05,0.0
403,-124.3,41.0,9.4082706066e-06,0.0
404,-124.3,41.1,8.309924873599999e-06,0.0
405,-124.3,41.2,7.3119735345999996e-06,0.0
406,-124.3,41.3,6.346821837900001e-06,0.0
407,-124.3,41.4,5.3745634358e-06,0.0
408,-124.3,41.5,4.3977591355e-06,0.0
409,-124.3,41.6,3.4542579016e-06,0.0
410,-124.3,41.7,2.5965605897e-06,0.0
411,-124.3,41.8,1.86865858785e-06,0.0
412,-124.3,41.9,1.29098337393e-06,0.0
413,-124.3,42.0,8.591769479200001e-07,0.0
414,-124.3,42.1,5.519565904599999e-07,0.0
415,-124.3,42.2,0.0,0.0
416,-124.3,42.3,0.0,1.0
417,-124.3,42.4,0.0,1.0
418,-124.3,42.5,0.0,1.0
419,-124.3,42.6,0.0,1.0
420,-124.3,42.7,0.0,1.0
421,-124.3,42.8,0.0,1.0
422,-124.3,42.9,0.0,1.0
423,-124.2,38.2,1.21869736811e-06,1.0
424,-124.2,38.3,1.4241251707300002e-06,1.0
425,-124.2,38.4,1.6549027993600001e-06,1.0
426,-124.2,38.5,1.91154594531e-06,0.0
427,-124.2,38.6,2.18601520378e-06,0.0
428,-124.2,38.7,2.4608221143e-06,0.0
429,-124.2,38.8,2.7114427829e-06,0.0
430,-124.2,38.9,2.911670649e-06,0.0
431,-124.2,39.0,3.0396312370000002e-06,0.0
432,-124.2,39.1,3.1121488175999998e-06,0.0
433,-124.2,39.2,3.1776833720000003e-06,0.0
434,-124.2,39.3,3.1531961087000003e-06,0.0
435,-124.2,39.4,3.0417311748e-06,0.0
436,-124.2,39.5,2.9893562997e-06,0.0
437,-124.2,39.6,3.1777124277999997e-06,0.0
438,-124.2,39.7,3.74789307e-06,0.0
439,-124.2,39.8,6.1777446589e-06,0.0
440,-124.2,39.9,1.1243215723800001e-05,0.0
441,-124.2,40.0,1.4087670854999999e-05,0.0
442,-124.2,40.1,1.2242061389399998e-05,0.0
443,-124.2,40.2,1.3764517496662056e-05,0.0
444,-124.2,40.3,4.490918421014872e-05,0.0
445,-124.2,40.4,1.30346500682e-05,0.0
446,-124.2,40.5,1.29061283566e-05,0.0
447,-124.2,40.6,1.2238558994199999e-05,0.0
448,-124.2,40.7,1.1269400912209999e-05,0.0
449,-124.2,40.8,1.019675293551e-05,0.0
450,-124.2,40.9,9.178709556999998e-06,0.0
451,-124.2,41.0,8.3036431593e-06,0.0
452,-124.2,41.1,7.5320214744e-06,0.0
453,-124.2,41.2,6.7933720247e-06,0.0
454,-124.2,41.3,6.0172324328e-06,0.0
455,-124.2,41.4,5.1678999248e-06,0.0
456,-124.2,41.5,4.2588004102e-06,0.0
457,-124.2,41.6,3.3435868014e-06,0.0
458,-124.2,41.7,2.4920381485e-06,0.0
459,-124.2,41.8,1.7630772324000002e-06,0.0
460,-124.2,41.9,1.18713394183e-06,0.0
461,-124.2,42.0,7.640683762e-07,0.0
462,-124.2,42.1,4.7210156573999997e-07,0.0
463,-124.2,42.2,0.0,0.0
464,-124.2,42.3,0.0,1.0
465,-124.2,42.4,0.0,1.0
466,-124.2,42.5,0.0,1.0
467,-124.2,42.6,0.0,1.0
468,-124.2,42.7,0.0,1.0
469,-124.2,42.8,0.0,1.0
470,-124.2,42.9,0.0,1.0
471,-124.1,38.1,1.0646571830900002e-06,1.0
472,-124.1,38.2,1.27106472902e-06,1.0
473,-124.1,38.3,1.51664806934e-06,0.0
474,-124.1,38.4,1.80427279147e-06,0.0
475,-124.1,38.5,2.1294664887e-06,0.0
476,-124.1,38.6,2.47702425e-06,0.0
477,-124.1,38.7,2.8205984275e-06,0.0
478,-124.1,38.8,3.1262314871e-06,0.0
479,-124.1,38.9,3.3595011434e-06,0.0
480,-124.1,39.0,3.5501041539e-06,0.0
481,-124.1,39.1,3.6714453559e-06,0.0
482,-124.1,39.2,3.6320329365999998e-06,0.0
483,-124.1,39.3,3.3783664254e-06,0.0
484,-124.1,39.4,3.1092804192e-06,0.0
485,-124.1,39.5,3.0054478009000003e-06,0.0
486,-124.1,39.6,3.4289389678e-06,0.0
487,-124.1,39.7,5.9303475636000005e-06,0.0
488,-124.1,39.8,8.7661864858e-06,0.0
489,-124.1,39.9,1.02306697247e-05,0.0
490,-124.1,40.0,8.9690228575e-06,0.0
491,-124.1,40.1,7.7211908703e-06,0.0
492,-124.1,40.2,1.1936593055050637e-05,0.0
493,-124.1,40.3,4.490918421014872e-05,0.0
494,-124.1,40.4,1.0706933173578262e-05,0.0
495,-124.1,40.5,1.03263049171e-05,0.0
496,-124.1,40.6,9.8714082984e-06,0.0
497,-124.1,40.7,9.1933225721e-06,0.0
498,-124.1,40.8,8.469240501599999e-06,0.0
499,-124.1,40.9,7.816109203700002e-06,0.0
500,-124.1,41.0,7.2651495655e-06,0.0
501,-124.1,41.1,6.773559266500001e-06,0.0
502,-124.1,41.2,6.2614126581000006e-06,0.0
503,-124.1,41.3,5.6551640797e-06,0.0
504,-124.1,41.4,4.922033472700001e-06,0.0
505,-124.1,41.5,4.0839064387e-06,0.0
506,-124.1,41.6,3.2068216898e-06,0.0
507,-124.1,41.7,2.3739646386e-06,0.0
508,-124.1,41.8,1.65571764576e-06,0.0
509,-124.1,41.9,1.09016552541e-06,0.0
510,-124.1,42.0,6.8049392587e-07,0.0
511,-124.1,42.1,4.0481287353999994e-07,0.0
512,-124.1,42.2,0.0,0.0
513,-124.1,42.3,0.0,1.0
514,-124.1,42.4,0.0,1.0
515,-124.1,42.5,0.0,1.0
516,-124.1,42.6,0.0,1.0
517,-124.1,42.7,0.0,1.0
518,-124.1,42.8,0.0,1.0
519,-124.1,42.9,0.0,1.0
520,-124.0,37.9,8.189796376200001e-07,1.0
521,-124.0,38.0,9.4563664151e-07,1.0
522,-124.0,38.1,1.1131153628800001e-06,1.0
523,-124.0,38.2,1.33513666914e-06,0.0
524,-124.0,38.3,1.6201169785899999e-06,0.0
525,-124.0,38.4,1.9684628709900003e-06,0.0
526,-124.0,38.5,2.3691915388000003e-06,0.0
527,-124.0,38.6,2.7973845835000003e-06,0.0
528,-124.0,38.7,3.2148946190000004e-06,0.0
529,-124.0,38.8,3.5758905177e-06,0.0
530,-124.0,38.9,3.9357440847e-06,0.0
531,-124.0,39.0,4.164353247899999e-06,0.0
532,-124.0,39.1,4.1234155296e-06,0.0
533,-124.0,39.2,3.8820548215e-06,0.0
534,-124.0,39.3,3.5751400664e-06,0.0
535,-124.0,39.4,3.3025271267e-06,0.0
536,-124.0,39.5,4.884710392299999e-06,0.0
537,-124.0,39.6,6.9565909889e-06,0.0
538,-124.0,39.7,7.425693013700001e-06,0.0
539,-124.0,39.8,6.7194561892e-06,0.0
540,-124.0,39.9,5.7088814385999995e-06,0.0
541,-124.0,40.0,6.4369295961e-06,0.0
542,-124.0,40.1,1.14739468733e-05,0.0
543,-124.0,40.2,1.33422517504e-05,0.0
544,-124.0,40.3,4.490918421014872e-05,0.0
545,-124.0,40.4,1.2250624413143173e-05,0.0
546,-124.0,40.5,8.149735619e-06,0.0
547,-124.0,40.6,1.02889910604699e-05,0.0
548,-124.0,40.7,2.9544583497922323e-05,0.0
549,-124.0,40.8,6.9662580361e-06,0.0
550,-124.0,40.9,6.588940629400001e-06,0.0
551,-124.0,41.0,6.2953536764e-06,0.0
552,-124.0,41.1,6.029523372e-06,0.0
553,-124.0,41.2,5.7045772911e-06,0.0
554,-124.0,41.3,5.2448397934e-06,0.0
555,-124.0,41.4,4.619684996e-06,0.0
556,-124.0,41.5,3.856772952599999e-06,0.0
557,-124.0,41.6,3.0302655351e-06,0.0
558,-124.0,41.7,2.2318825338299998e-06,0.0
559,-124.0,41.8,1.5391845389200002e-06,0.0
560,-124.0,41.9,9.951230293200002e-07,0.0
561,-124.0,42.0,6.052262078900001e-07,0.0
562,-124.0,42.1,3.4800182621e-07,0.0
563,-124.0,42.2,0.0,0.0
564,-124.0,42.3,0.0,1.0
565,-124.0,42.4,0.0,1.0
566,-124.0,42.5,0.0,1.0
567,-124.0,42.6,0.0,1.0
568,-124.0,42.7,0.0,1.0
569,-124.0,42.8,0.0,1.0
570,-124.0,42.9,0.0,1.0
571,-123.9,37.8,8.895539383100001e-07,1.0
572,-123.9,37.9,9.5855236155e-07,1.0
573,-123.9,38.0,1.05439584709e-06,0.0
574,-123.9,38.1,1.20617100027e-06,0.0
575,-123.9,38.2,1.4367984403e-06,0.0
576,-123.9,38.3,1.7581258522500002e-06,0.0
577,-123.9,38.4,2.16782046137e-06,0.0
578,-123.9,38.5,2.6467881927e-06,0.0
579,-123.9,38.6,3.1579632205e-06,0.0
580,-123.9,38.7,3.6771672782e-06,0.0
581,-123.9,38.8,4.1874085225e-06,0.0
582,-123.9,38.9,4.5364224665000004e-06,0.0
583,-123.9,39.0,4.591383704700001e-06,0.0
584,-123.9,39.1,4.430595124100001e-06,0.0
585,-123.9,39.2,4.173889712499999e-06,0.0
586,-123.9,39.3,4.5763888125e-06,0.0
587,-123.9,39.4,6.3815072831e-06,0.0
588,-123.9,39.5,7.845177559200001e-06,0.0
589,-123.9,39.6,7.230023609499999e-06,0.0
590,-123.9,39.7,4.6119652246e-06,0.0
591,-123.9,39.8,5.9001515124000004e-06,0.0
592,-123.9,39.9,1.08896868745e-05,0.0
593,-123.9,40.0,1.39658433567e-05,0.0
594,-123.9,40.1,1.4629413960999999e-05,0.0
595,-123.9,40.2,1.1758291205400002e-05,0.0
596,-123.9,40.3,4.490918421014872e-05,0.0
597,-123.9,40.4,1.4153918880346729e-05,0.0
598,-123.9,40.5,6.365338579e-06,0.0
599,-123.9,40.6,1.1769129885449054e-05,0.0
600,-123.9,40.7,3.0745842258495077e-05,0.0
601,-123.9,40.8,5.6716986469e-06,0.0
602,-123.9,40.9,5.4972464743e-06,0.0
603,-123.9,41.0,5.394408708200001e-06,0.0
604,-123.9,41.1,7.053850802978006e-05,0.0
605,-123.9,41.2,5.1202791597e-06,0.0
606,-123.9,41.3,4.7825091508e-06,0.0
607,-123.9,41.4,4.2566659162999995e-06,0.0
608,-123.9,41.5,3.5733954604000003e-06,0.0
609,-123.9,41.6,2.8103833502999998e-06,0.0
610,-123.9,41.7,2.06269947344e-06,0.0
611,-123.9,41.8,1.4106684203300001e-06,0.0
612,-123.9,41.9,8.993678776000001e-07,0.0
613,-123.9,42.0,5.3581072485e-07,0.0
614,-123.9,42.1,2.9949866759e-07,0.0
615,-123.9,42.2,0.0,0.0
616,-123.9,42.3,0.0,1.0
617,-123.9,42.4,0.0,1.0
618,-123.9,42.5,0.0,1.0
619,-123.9,42.6,0.0,1.0
620,-123.9,42.7,0.0,1.0
621,-123.9,42.8,0.0,1.0
622,-123.9,42.9,0.0,1.0
623,-123.8,37.6,1.0274096267500001e-06,1.0
