,date
467,2013-10-19
468,2013-10-20
469,2013-10-21
471,2013-10-22
472,2013-10-23
473,2013-10-24
474,2013-10-25
475,2013-10-26
476,2013-10-27
477,2013-10-28
478,2013-10-29
479,2013-10-30
480,2013-10-31
490,2013-11-01
501,2013-11-02
511,2013-11-03
512,2013-11-04
513,2013-11-05
514,2013-11-06
515,2013-11-07
516,2013-11-08
517,2013-11-09
488,2013-11-10
489,2013-11-11
491,2013-11-12
492,2013-11-13
493,2013-11-14
494,2013-11-15
495,2013-11-16
496,2013-11-17
497,2013-11-18
498,2013-11-19
499,2013-11-20
500,2013-11-21
502,2013-11-22
503,2013-11-23
504,2013-11-24
505,2013-11-25
506,2013-11-26
507,2013-11-27
508,2013-11-28
509,2013-11-29
510,2013-11-30
520,2013-12-01
531,2013-12-02
542,2013-12-03
543,2013-12-04
544,2013-12-05
545,2013-12-06
546,2013-12-07
547,2013-12-08
548,2013-12-09
518,2013-12-10
519,2013-12-11
521,2013-12-12
522,2013-12-13
523,2013-12-14
524,2013-12-15
525,2013-12-16
526,2013-12-17
527,2013-12-18
528,2013-12-19
529,2013-12-20
530,2013-12-21
532,2013-12-22
533,2013-12-23
534,2013-12-24
535,2013-12-25
536,2013-12-26
537,2013-12-27
538,2013-12-28
539,2013-12-29
540,2013-12-30
541,2013-12-31
551,2014-01-01
562,2014-01-02
573,2014-01-03
574,2014-01-04
575,2014-01-05
576,2014-01-06
577,2014-01-07
578,2014-01-08
579,2014-01-09
549,2014-01-10
550,2014-01-11
552,2014-01-12
553,2014-01-13
554,2014-01-14
555,2014-01-15
556,2014-01-16
557,2014-01-17
558,2014-01-18
559,2014-01-19
560,2014-01-20
561,2014-01-21
563,2014-01-22
564,2014-01-23
565,2014-01-24
566,2014-01-25
567,2014-01-26
568,2014-01-27
569,2014-01-28
570,2014-01-29
571,2014-01-30
572,2014-01-31
582,2014-02-01
593,2014-02-02
601,2014-02-03
602,2014-02-04
603,2014-02-05
604,2014-02-06
605,2014-02-07
606,2014-02-08
607,2014-02-09
580,2014-02-10
581,2014-02-11
583,2014-02-12
584,2014-02-13
585,2014-02-14
586,2014-02-15
587,2014-02-16
588,2014-02-17
589,2014-02-18
590,2014-02-19
591,2014-02-20
592,2014-02-21
594,2014-02-22
595,2014-02-23
596,2014-02-24
597,2014-02-25
598,2014-02-26
599,2014-02-27
600,2014-02-28
610,2014-03-01
621,2014-03-02
632,2014-03-03
633,2014-03-04
634,2014-03-05
635,2014-03-06
636,2014-03-07
637,2014-03-08
638,2014-03-09
608,2014-03-10
609,2014-03-11
611,2014-03-12
612,2014-03-13
613,2014-03-14
614,2014-03-15
615,2014-03-16
616,2014-03-17
617,2014-03-18
618,2014-03-19
619,2014-03-20
620,2014-03-21
622,2014-03-22
623,2014-03-23
624,2014-03-24
625,2014-03-25
626,2014-03-26
627,2014-03-27
628,2014-03-28
629,2014-03-29
630,2014-03-30
631,2014-03-31
641,2014-04-01
652,2014-04-02
662,2014-04-03
663,2014-04-04
664,2014-04-05
665,2014-04-06
666,2014-04-07
667,2014-04-08
668,2014-04-09
639,2014-04-10
640,2014-04-11
642,2014-04-12
643,2014-04-13
644,2014-04-14
645,2014-04-15
646,2014-04-16
647,2014-04-17
648,2014-04-18
649,2014-04-19
650,2014-04-20
651,2014-04-21
653,2014-04-22
654,2014-04-23
655,2014-04-24
656,2014-04-25
657,2014-04-26
658,2014-04-27
659,2014-04-28
660,2014-04-29
661,2014-04-30
671,2014-05-01
682,2014-05-02
693,2014-05-03
694,2014-05-04
695,2014-05-05
696,2014-05-06
697,2014-05-07
698,2014-05-08
699,2014-05-09
669,2014-05-10
670,2014-05-11
672,2014-05-12
673,2014-05-13
674,2014-05-14
675,2014-05-15
676,2014-05-16
677,2014-05-17
678,2014-05-18
679,2014-05-19
680,2014-05-20
681,2014-05-21
683,2014-05-22
684,2014-05-23
685,2014-05-24
686,2014-05-25
687,2014-05-26
688,2014-05-27
689,2014-05-28
690,2014-05-29
691,2014-05-30
692,2014-05-31
702,2014-06-01
713,2014-06-02
723,2014-06-03
724,2014-06-04
725,2014-06-05
726,2014-06-06
727,2014-06-07
728,2014-06-08
729,2014-06-09
700,2014-06-10
701,2014-06-11
703,2014-06-12
704,2014-06-13
705,2014-06-14
706,2014-06-15
707,2014-06-16
708,2014-06-17
709,2014-06-18
710,2014-06-19
711,2014-06-20
712,2014-06-21
714,2014-06-22
715,2014-06-23
716,2014-06-24
717,2014-06-25
718,2014-06-26
719,2014-06-27
720,2014-06-28
721,2014-06-29
722,2014-06-30
732,2014-07-01
743,2014-07-02
754,2014-07-03
755,2014-07-04
756,2014-07-05
757,2014-07-06
758,2014-07-07
759,2014-07-08
760,2014-07-09
730,2014-07-10
731,2014-07-11
733,2014-07-12
734,2014-07-13
