,date
589,2012-04-20
590,2012-04-21
591,2012-04-22
592,2012-04-23
593,2012-04-24
594,2012-04-25
595,2012-04-26
596,2012-04-27
597,2012-04-28
598,2012-04-29
600,2012-04-30
618,2012-05-01
629,2012-05-02
632,2012-05-03
633,2012-05-04
634,2012-05-05
635,2012-05-06
636,2012-05-07
637,2012-05-08
638,2012-05-09
608,2012-05-10
609,2012-05-11
610,2012-05-12
611,2012-05-13
612,2012-05-14
613,2012-05-15
614,2012-05-16
615,2012-05-17
616,2012-05-18
617,2012-05-19
619,2012-05-20
620,2012-05-21
621,2012-05-22
622,2012-05-23
623,2012-05-24
624,2012-05-25
625,2012-05-26
626,2012-05-27
627,2012-05-28
628,2012-05-29
630,2012-05-30
631,2012-05-31
649,2012-06-01
660,2012-06-02
662,2012-06-03
663,2012-06-04
664,2012-06-05
665,2012-06-06
666,2012-06-07
667,2012-06-08
668,2012-06-09
639,2012-06-10
640,2012-06-11
641,2012-06-12
642,2012-06-13
643,2012-06-14
644,2012-06-15
645,2012-06-16
646,2012-06-17
647,2012-06-18
648,2012-06-19
650,2012-06-20
651,2012-06-21
652,2012-06-22
653,2012-06-23
654,2012-06-24
655,2012-06-25
656,2012-06-26
657,2012-06-27
658,2012-06-28
659,2012-06-29
661,2012-06-30
679,2012-07-01
690,2012-07-02
693,2012-07-03
694,2012-07-04
695,2012-07-05
696,2012-07-06
697,2012-07-07
698,2012-07-08
699,2012-07-09
669,2012-07-10
670,2012-07-11
671,2012-07-12
672,2012-07-13
673,2012-07-14
674,2012-07-15
675,2012-07-16
676,2012-07-17
677,2012-07-18
678,2012-07-19
680,2012-07-20
681,2012-07-21
682,2012-07-22
683,2012-07-23
684,2012-07-24
685,2012-07-25
686,2012-07-26
687,2012-07-27
688,2012-07-28
689,2012-07-29
691,2012-07-30
692,2012-07-31
710,2012-08-01
721,2012-08-02
724,2012-08-03
725,2012-08-04
726,2012-08-05
727,2012-08-06
728,2012-08-07
729,2012-08-08
730,2012-08-09
700,2012-08-10
701,2012-08-11
702,2012-08-12
703,2012-08-13
704,2012-08-14
705,2012-08-15
706,2012-08-16
707,2012-08-17
708,2012-08-18
709,2012-08-19
711,2012-08-20
712,2012-08-21
713,2012-08-22
714,2012-08-23
715,2012-08-24
716,2012-08-25
717,2012-08-26
718,2012-08-27
719,2012-08-28
720,2012-08-29
722,2012-08-30
723,2012-08-31
741,2012-09-01
752,2012-09-02
754,2012-09-03
755,2012-09-04
756,2012-09-05
757,2012-09-06
758,2012-09-07
759,2012-09-08
760,2012-09-09
731,2012-09-10
732,2012-09-11
733,2012-09-12
734,2012-09-13
735,2012-09-14
736,2012-09-15
737,2012-09-16
738,2012-09-17
739,2012-09-18
740,2012-09-19
742,2012-09-20
743,2012-09-21
744,2012-09-22
745,2012-09-23
746,2012-09-24
747,2012-09-25
748,2012-09-26
749,2012-09-27
750,2012-09-28
751,2012-09-29
753,2012-09-30
771,2012-10-01
782,2012-10-02
785,2012-10-03
786,2012-10-04
787,2012-10-05
788,2012-10-06
789,2012-10-07
790,2012-10-08
791,2012-10-09
761,2012-10-10
762,2012-10-11
763,2012-10-12
764,2012-10-13
765,2012-10-14
766,2012-10-15
767,2012-10-16
768,2012-10-17
769,2012-10-18
770,2012-10-19
772,2012-10-20
773,2012-10-21
774,2012-10-22
775,2012-10-23
776,2012-10-24
777,2012-10-25
778,2012-10-26
779,2012-10-27
780,2012-10-28
781,2012-10-29
783,2012-10-30
784,2012-10-31
802,2012-11-01
813,2012-11-02
815,2012-11-03
816,2012-11-04
817,2012-11-05
818,2012-11-06
819,2012-11-07
820,2012-11-08
821,2012-11-09
792,2012-11-10
793,2012-11-11
794,2012-11-12
795,2012-11-13
796,2012-11-14
797,2012-11-15
798,2012-11-16
799,2012-11-17
800,2012-11-18
801,2012-11-19
803,2012-11-20
804,2012-11-21
805,2012-11-22
806,2012-11-23
807,2012-11-24
808,2012-11-25
809,2012-11-26
810,2012-11-27
811,2012-11-28
812,2012-11-29
814,2012-11-30
832,2012-12-01
843,2012-12-02
846,2012-12-03
847,2012-12-04
848,2012-12-05
849,2012-12-06
850,2012-12-07
851,2012-12-08
852,2012-12-09
822,2012-12-10
823,2012-12-11
824,2012-12-12
825,2012-12-13
826,2012-12-14
827,2012-12-15
828,2012-12-16
829,2012-12-17
830,2012-12-18
831,2012-12-19
833,2012-12-20
834,2012-12-21
835,2012-12-22
836,2012-12-23
837,2012-12-24
838,2012-12-25
839,2012-12-26
840,2012-12-27
841,2012-12-28
842,2012-12-29
844,2012-12-30
845,2012-12-31
863,2013-01-01
874,2013-01-02
877,2013-01-03
878,2013-01-04
879,2013-01-05
880,2013-01-06
881,2013-01-07
882,2013-01-08
883,2013-01-09
853,2013-01-10
854,2013-01-11
855,2013-01-12
856,2013-01-13
857,2013-01-14
858,2013-01-15
859,2013-01-16
860,2013-01-17
861,2013-01-18
862,2013-01-19
864,2013-01-20
865,2013-01-21
866,2013-01-22
867,2013-01-23
868,2013-01-24
869,2013-01-25
870,2013-01-26
871,2013-01-27
872,2013-01-28
873,2013-01-29
875,2013-01-30
876,2013-01-31
894,2013-02-01
904,2013-02-02
905,2013-02-03
906,2013-02-04
907,2013-02-05
908,2013-02-06
909,2013-02-07
910,2013-02-08
911,2013-02-09
884,2013-02-10
885,2013-02-11
886,2013-02-12
887,2013-02-13
888,2013-02-14
889,2013-02-15
890,2013-02-16
891,2013-02-17
892,2013-02-18
893,2013-02-19
895,2013-02-20
896,2013-02-21
897,2013-02-22
898,2013-02-23
899,2013-02-24
900,2013-02-25
901,2013-02-26
902,2013-02-27
903,2013-02-28
922,2013-03-01
933,2013-03-02
936,2013-03-03
937,2013-03-04
938,2013-03-05
939,2013-03-06
940,2013-03-07
941,2013-03-08
942,2013-03-09
912,2013-03-10
913,2013-03-11
914,2013-03-12
915,2013-03-13
916,2013-03-14
917,2013-03-15
918,2013-03-16
919,2013-03-17
920,2013-03-18
921,2013-03-19
923,2013-03-20
924,2013-03-21
925,2013-03-22
926,2013-03-23
927,2013-03-24
928,2013-03-25
929,2013-03-26
930,2013-03-27
931,2013-03-28
932,2013-03-29
934,2013-03-30
935,2013-03-31
953,2013-04-01
964,2013-04-02
966,2013-04-03
967,2013-04-04
968,2013-04-05
969,2013-04-06
970,2013-04-07
971,2013-04-08
972,2013-04-09
943,2013-04-10
944,2013-04-11
945,2013-04-12
946,2013-04-13
947,2013-04-14
948,2013-04-15
949,2013-04-16
950,2013-04-17
951,2013-04-18
952,2013-04-19
954,2013-04-20
955,2013-04-21
956,2013-04-22
957,2013-04-23
958,2013-04-24
959,2013-04-25
960,2013-04-26
961,2013-04-27
962,2013-04-28
