,date
479,2014-01-12
480,2014-01-12
481,2014-01-13
482,2014-01-13
483,2014-01-14
484,2014-01-14
485,2014-01-15
486,2014-01-15
487,2014-01-16
488,2014-01-16
489,2014-01-17
490,2014-01-17
491,2014-01-18
492,2014-01-18
493,2014-01-19
494,2014-01-19
495,2014-01-20
496,2014-01-20
497,2014-01-21
498,2014-01-21
499,2014-01-22
500,2014-01-22
501,2014-01-23
502,2014-01-23
503,2014-01-24
504,2014-01-24
505,2014-01-25
506,2014-01-25
507,2014-01-26
508,2014-01-26
509,2014-01-27
510,2014-01-27
511,2014-01-28
512,2014-01-28
513,2014-01-29
514,2014-01-29
515,2014-01-30
516,2014-01-30
517,2014-01-31
518,2014-01-31
519,2014-03-01
520,2014-03-02
521,2014-03-03
522,2014-03-04
523,2014-03-05
524,2014-03-06
525,2014-03-07
526,2014-03-08
527,2014-03-09
528,2014-03-10
529,2014-03-11
530,2014-03-12
531,2014-03-13
532,2014-03-14
533,2014-03-15
534,2014-03-16
535,2014-03-17
536,2014-03-18
537,2014-03-19
538,2014-03-20
539,2014-03-21
540,2014-03-22
541,2014-03-23
542,2014-03-24
543,2014-03-25
544,2014-03-26
545,2014-03-27
546,2014-03-28
547,2014-03-29
548,2014-03-30
549,2014-03-31
550,2014-04-01
551,2014-04-02
552,2014-04-03
553,2014-04-04
554,2014-04-05
555,2014-04-06
556,2014-04-07
557,2014-04-08
558,2014-04-09
559,2014-04-10
560,2014-04-11
561,2014-04-12
562,2014-04-13
563,2014-04-14
564,2014-04-15
565,2014-04-16
566,2014-04-17
567,2014-04-18
568,2014-04-19
569,2014-04-20
570,2014-04-21
571,2014-04-22
572,2014-04-23
573,2014-04-24
574,2014-04-25
575,2014-04-26
576,2014-04-27
577,2014-04-28
578,2014-04-29
579,2014-04-30
580,2014-05-01
581,2014-05-02
582,2014-05-03
583,2014-05-04
584,2014-05-05
585,2014-05-06
586,2014-05-07
587,2014-05-08
588,2014-05-09
589,2014-05-10
590,2014-05-11
591,2014-05-12
592,2014-05-13
593,2014-05-14
594,2014-05-15
595,2014-05-16
596,2014-05-17
597,2014-05-18
598,2014-05-19
599,2014-05-20
600,2014-05-21
601,2014-05-22
602,2014-05-23
603,2014-05-24
604,2014-05-25
605,2014-05-26
606,2014-05-27
607,2014-05-28
608,2014-05-29
609,2014-05-30
610,2014-05-31
611,2014-06-01
612,2014-06-02
613,2014-06-03
614,2014-06-04
615,2014-06-05
616,2014-06-06
617,2014-06-07
618,2014-06-08
619,2014-06-09
620,2014-06-10
621,2014-06-11
622,2014-06-12
623,2014-06-13
624,2014-06-14
625,2014-06-15
626,2014-06-16
627,2014-06-17
628,2014-06-18
629,2014-06-19
630,2014-06-20
631,2014-06-21
632,2014-06-22
633,2014-06-23
634,2014-06-24
635,2014-06-25
636,2014-06-26
637,2014-06-27
638,2014-06-28
639,2014-06-29
640,2014-06-30
641,2014-07-01
642,2014-07-02
643,2014-07-03
644,2014-07-04
645,2014-07-05
646,2014-07-06
647,2014-07-07
648,2014-07-08
649,2014-07-09
650,2014-07-10
651,2014-07-11
652,2014-07-12
653,2014-07-13
654,2014-07-14
655,2014-07-15
